MAKE,MODEL,PRICE,YEAR,KILOMETER,FUEL TYPE,TRANSMISSION,COLOR,OWNER,SELLER TYPE,ENGINE CAPACITY ,MAX POWER,MAX TORQUE,DRIVETRAIN,LENGTH,WIDTH,HEIGHT,SEATING CAPACITY,FUEL TANK CAPACITY
Maruti Suzuki,Celerio VXi AMT,10300,2016,41058,Petrol,Automatic,Silver,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600,1600,1560,5,35
Maruti Suzuki,Ciaz VDi SHVS,15625,2016,51330,Diesel,Manual,Brown,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490,1730,1485,5,43
Maruti Suzuki,Ciaz VXi,12775,2015,45969,Petrol,Manual,Silver,First,Individual,1373,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490,1730,1485,5,43
Hyundai,Creta SX Plus 1.6 AT CRDI,28750,2017,66602,Diesel,Automatic,Grey,First,Individual,1582,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270,1780,1630,5,60
Hyundai,Creta SX Plus 1.6  Petrol,22125,2016,57983,Petrol,Manual,White,First,Individual,1591,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60
Renault,Kwid 1.0 RXT AMT Opt,11750,2019,11183,Petrol,Automatic,Silver,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
MG,Hector Sharp 2.0 Diesel [2019-2020],40275,2019,46301,Diesel,Manual,White,First,Individual,1956,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4655,1835,1760,5,60
Tata,Tiago Revotron XZA [2017-2019],11875,2017,34867,Petrol,Automatic,Silver,Second,Individual,1199,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746,1647,1535,5,35
Toyota,Innova 2.5 GX BS IV 7 STR,21625,2015,43634,Diesel,Manual,Silver,First,Individual,2494,101 bhp @ 3600 rpm,200 Nm @ 1200 rpm,RWD,4585,1765,1760,7,55
BMW,X3 xDrive 20d Luxury Line [2018-2020],95000,2018,9512,Diesel,Automatic,Blue,First,Corporate,1995,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4657,1881,1678,5,67
Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,61875,2020,11293,Diesel,Automatic,White,First,Individual,1956,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,AWD,4395,1818,1640,5,60
Mahindra,Scorpio SLE BS-IV,10000,2014,78000,Diesel,Manual,White,Second,Individual,2179,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430,1817,1975,8,60
Honda,Brio S MT,11000,2016,50374,Petrol,Manual,White,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610,1680,1500,5,35
BMW,3-Series 320i Luxury Line,70000,2017,15900,Petrol,Automatic,White,First,Individual,1998,181 bhp @ 5000 rpm,270 Nm @ 1350 rpm,RWD,4633,1811,1429,5,57
Honda,City V Petrol [2017-2019],16125,2017,64000,Petrol,Manual,White,First,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Volkswagen,Polo Highline1.2L (D),9125,2013,78000,Diesel,Manual,Silver,First,Individual,1199,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD,3970,1682,1453,5,45
Maruti Suzuki,Vitara Brezza ZXi Plus,26125,2021,24000,Petrol,Manual,Silver,First,Individual,1462,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,3995,1790,1640,5,48
Maruti Suzuki,Eeco 7 STR [2019-2020],12875,2019,40310,Petrol,Manual,Grey,Second,Individual,1196,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675,1475,1800,7,40
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],11375,2015,69700,Petrol,Automatic,Blue,First,Individual,1197,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
BMW,X3 xDrive20d,45000,2012,74073,Diesel,Automatic,Black,First,Individual,1995,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,AWD,4648,1881,1661,5,67
Toyota,Fortuner 2.8 4x2 AT [2016-2020],87475,2019,73000,Diesel,Automatic,White,First,Individual,2755,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795,1855,1835,7,80
Honda,Civic 1.8S MT,4750,2006,130000,Petrol,Manual,Maroon,Third,Individual,1799,130 bhp @ 6300 rpm,171.62 Nm @ 4300 rpm,FWD,4545,1750,1450,5,50
Audi,A4 2.0 TDI (143 bhp),31250,2012,50000,Diesel,Automatic,White,First,Individual,,,,,,,,,
Maruti Suzuki,Swift ZXi Plus AMT,19375,2021,24000,Petrol,Automatic,Grey,First,Individual,1197,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845,1735,1530,5,37
Hyundai,Elite i20 Sportz 1.5 MT Diesel,20625,2021,43000,Diesel,Manual,White,First,Individual,1493,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
Audi,A3 35 TDI Technology + Sunroof,56250,2016,40500,Diesel,Automatic,White,First,Individual,1968,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
Honda,City V CVT Petrol [2017-2019],21625,2017,49013,Petrol,Automatic,Grey,First,Individual,1497,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40
Ford,Figo Duratorq Diesel Titanium 1.4,7475,2013,64983,Diesel,Manual,Red,First,Individual,1399,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795,1680,1427,5,45
Honda,Jazz VX Petrol,14250,2017,92270,Petrol,Manual,Brown,First,Individual,1199,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955,1694,1544,5,40
Volkswagen,Polo Highline1.2L (P),9625,2013,65000,Petrol,Manual,White,First,Individual,1198,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3970,1682,1453,5,45
Honda,Amaze 1.5 SX i-DTEC,8750,2014,110000,Diesel,Manual,Black,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990,1680,1505,5,35
Toyota,Camry 2.5L AT,58625,2017,47000,Petrol,Automatic,Brown,First,Individual,2494,179 bhp @ 6000 rpm,233 Nm @ 4100 rpm,FWD,4825,1825,1480,5,70
Mahindra,Thar LX 4-STR Hard Top Petrol AT,41250,2022,10000,Petrol,Automatic,Black,First,Individual,1997,150 bhp @ 5000 rpm,320 Nm @ 1500 rpm,AWD,3985,1820,1844,4,57
Mercedes-Benz,C-Class 250 CDI Elegance,27500,2011,51500,Diesel,Automatic,Black,Second,Individual,2143,207@4200,500@1600,RWD,4596,1770,1447,5,66
Audi,Q3 35 TDI quattro Premium Plus,72500,2018,35000,Diesel,Automatic,White,First,Individual,1968,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
Maruti Suzuki,Baleno Sigma 1.2,13625,2017,61518,Petrol,Manual,Red,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
BMW,X1 sDrive20d xLine,74750,2018,34000,Diesel,Automatic,White,First,Corporate,1995,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454,2044,1545,5,63
Maruti Suzuki,Baleno Zeta 1.2,15375,2017,36058,Petrol,Manual,Silver,First,Individual,1197,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37
Hyundai,Creta 1.6 SX Plus AT,22250,2016,88000,Diesel,Automatic,Silver,First,Individual,1582,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270,1780,1630,5,60
Volkswagen,Vento Comfortline Petrol,10750,2015,98112,Petrol,Manual,Brown,First,Individual,1598,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4384,1699,1466,5,55
Mercedes-Benz,C-Class 220 BlueEfficiency,41250,2013,58000,Diesel,Automatic,Silver,First,Individual,2143,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,RWD,4596,1770,1447,5,66
Toyota,Camry Hybrid,39975,2015,92355,Petrol,Automatic,Silver,First,Individual,2494,202 bhp @ 5700 rpm,270 Nm @ 4500 rpm,FWD,4825,1825,1480,5,65
Maruti Suzuki,DZire VXi,17275,2019,16652,Petrol,Manual,White,First,Individual,1197,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3995,1735,1515,5,37
Nissan,Terrano XV D THP 110 PS,16250,2016,76584,Diesel,Manual,White,First,Individual,1461,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4331,1822,1671,5,50
Maruti Suzuki,Wagon R LXI CNG,10375,2015,42500,CNG,Manual,Brown,First,Individual,998,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],16725,2016,70000,Diesel,Manual,Grey,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995,1790,1640,5,48
BMW,X5 xDrive30d Pure Experience (5 Seater),73750,2015,84700,Diesel,Automatic,Black,Second,Individual,2993,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886,1938,1762,5,
Mercedes-Benz,GLC 220 d Sport,97500,2018,83400,Diesel,Automatic,White,Second,Individual,,,,,,,,,
Porsche,Cayenne Coupe Platinum Edition,405000,2022,2766,Petrol,Automatic,Blue,First,Individual,2995,335 bhp @ 5300 rpm,450 Nm @ 1340 rpm,AWD,4931,1983,1676,4,75
Mercedes-Benz,C-Class Cabriolet C 300,127500,2017,56000,Petrol,Automatic,White,Second,Individual,1991,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD,4686,1810,1409,4,59
Hyundai,Elite i20 Magna 1.2,13125,2015,68766,Petrol,Manual,Silver,First,Individual,1197,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
Hyundai,Verna 1.6 VTVT SX,18750,2018,16339,Petrol,Manual,Black,First,Individual,1591,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375,1700,1475,5,43
Honda,Amaze 1.2 SX i-VTEC,11125,2016,63882,Petrol,Manual,Bronze,First,Individual,1198,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35
Toyota,Corolla Altis 1.8 G,12325,2012,28732,Petrol,Manual,Silver,First,Individual,1798,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4540,1760,1480,5,55
Hyundai,Elite i20 Sportz 1.2 (O),15275,2017,51349,Petrol,Manual,Red,First,Individual,1197,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],11875,2014,61866,Petrol,Automatic,White,First,Individual,1197,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Hyundai,Creta SX Plus 1.6  Petrol,23125,2017,29401,Petrol,Manual,Grey,First,Individual,1591,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60
Audi,A6 2.0 TDI Premium,33125,2012,98580,Diesel,Automatic,White,First,Individual,1968,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
BMW,X1 sDrive20d xLine,97500,2021,8000,Diesel,Automatic,Black,First,Individual,1995,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454,2044,1545,5,63
Mahindra,XUV300 W8 (O) 1.5 Diesel,32475,2020,31348,Diesel,Manual,White,First,Individual,1497,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,3995,1821,1627,5,42
Maruti Suzuki,Swift ZDi Plus,14500,2018,28851,Diesel,Manual,Blue,First,Corporate,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840,1735,1530,5,37
Honda,Brio S MT,5725,2013,38175,Petrol,Manual,Blue,First,Individual,,,,,,,,,
Mahindra,Thar LX 4-STR Hard Top Petrol MT,39375,2021,8519,Petrol,Manual,Blue,First,Individual,1997,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985,1820,1844,4,57
Honda,City 1.5 S MT,9375,2011,78000,Petrol,Manual,Bronze,First,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Mercedes-Benz,E-Class E 250 CDI Avantgarde,56250,2015,48000,Diesel,Automatic,White,First,Individual,2143,204 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD,4879,1854,1474,5,80
Toyota,Fortuner 3.0 4x2 AT,35000,2014,143000,Diesel,Automatic,White,Second,Individual,2982,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705,1840,1850,7,80
Tata,Zest XM 75 PS Diesel,10625,2017,39000,Diesel,Manual,Silver,First,Commercial Registration,1248,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995,1706,1570,5,44
Skoda,Rapid Ambition 1.6 MPI AT Plus,10625,2014,24000,Petrol,Automatic,Beige,Second,Individual,1598,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4386,1699,1466,5,55
Maruti Suzuki,Alto 800 Lxi,6250,2015,62000,Petrol,Manual,Maroon,Second,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Ertiga VDi,10625,2012,78000,Diesel,Manual,White,Second,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265,1695,1685,7,45
Hyundai,Santro GL LPG,3000,2009,48500,LPG,Manual,Grey,Fourth,Individual,1086,63@5500,89@3000,,3565,1525,1590,5,35
Ford,Figo Duratorq Diesel ZXI 1.4,5875,2014,82000,Diesel,Manual,White,Second,Individual,1399,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795,1680,1427,5,45
Audi,A3 35 TDI Technology + Sunroof,76250,2020,40910,Diesel,Automatic,White,First,Individual,1968,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
Tata,Harrier XZ Plus,53625,2020,10290,Diesel,Manual,Red,First,Individual,1956,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598,1894,1706,5,50
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,31125,2021,10530,Petrol,Automatic,Red,First,Individual,998,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
Hyundai,Elite i20 Asta 1.2,13725,2015,61900,Petrol,Manual,Silver,First,Individual,1197,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45
Volkswagen,Polo Highline1.2L (D),12125,2013,78000,Diesel,Manual,White,Second,Individual,1199,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD,3970,1682,1453,5,45
Maruti Suzuki,Swift DZire VXI,10375,2014,57402,Petrol,Manual,Grey,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42
Hyundai,Santro GL (CNG),5000,2013,57000,CNG,Manual,White,First,Individual,1086,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565,1525,1590,5,35
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],9375,2015,87500,Petrol,Manual,Grey,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Tata,Nexon EV XZ Plus,34375,2021,16000,Electric,Automatic,White,First,Individual,,,,FWD,3993,1811,1606,5,
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],46875,2022,18000,Petrol,Automatic,Black,First,Individual,1353,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4300,1790,1635,5,50
Audi,Q2 Premium Plus I 40 TFSI quattro,73750,2020,10700,Petrol,Automatic,White,First,Individual,1984,188 bhp @ 4200 rpm,320 Nm @ 1500 rpm,AWD,4318,1805,1548,5,55
Audi,Q7 45 TDI Premium Plus,122500,2018,78000,Diesel,Automatic,Black,First,Individual,2967,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,26250,2020,16282,Petrol,Automatic,White,First,Individual,998,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995,1775,1505,5,37
Hyundai,Verna Fluidic 1.6 CRDi SX,11750,2013,66000,Diesel,Manual,Grey,Third,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370,1700,1475,5,43
Maruti Suzuki,Wagon R VXI,8625,2017,72019,Petrol,Manual,Silver,Second,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
BMW,5-Series 520d Sedan,37250,2013,195000,Diesel,Automatic,White,First,Individual,1995,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899,2094,1464,5,
Mahindra,Scorpio 2.6 Turbo 7 Str,13750,2007,92170,Diesel,Manual,White,Second,Individual,2609,116@3800,277@1700,RWD,4495,1817,1975,7,60
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],12125,2018,55221,Petrol,Manual,White,First,Individual,1197,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43
Toyota,Fortuner 2.8 4x2 AT [2016-2020],83750,2018,25000,Diesel,Automatic,White,First,Individual,2755,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795,1855,1835,7,80
Maruti Suzuki,Ritz VXI BS-IV,5250,2011,58888,Petrol,Manual,Maroon,Second,Individual,,,,,,,,,
Audi,Q5 45 TFSI Premium Plus,141275,2022,1,Petrol,Automatic,Blue,UnRegistered Car,Individual,1984,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,AWD,4663,1898,1659,5,70
